Finished epoch: 136 | Recon Loss : 0.1779 | Codebook : 0.1187 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 137 | Recon Loss : 0.1779 | Codebook : 0.1167 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 138 | Recon Loss : 0.1779 | Codebook : 0.1145 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 139 | Recon Loss : 0.1778 | Codebook : 0.1120 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 140 | Recon Loss : 0.1778 | Codebook : 0.1087 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 141 | Recon Loss : 0.1778 | Codebook : 0.1068 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 142 | Recon Loss : 0.1777 | Codebook : 0.1040 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 143 | Recon Loss : 0.1777 | Codebook : 0.1014 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 144 | Recon Loss : 0.1777 | Codebook : 0.1008 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 145 | Recon Loss : 0.1777 | Codebook : 0.0990 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 146 | Recon Loss : 0.1776 | Codebook : 0.0964 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 147 | Recon Loss : 0.1776 | Codebook : 0.0951 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 148 | Recon Loss : 0.1776 | Codebook : 0.0943 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 149 | Recon Loss : 0.1776 | Codebook : 0.0915 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 150 | Recon Loss : 0.1776 | Codebook : 0.0901 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 151 | Recon Loss : 0.1775 | Codebook : 0.0880 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 152 | Recon Loss : 0.1775 | Codebook : 0.0855 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 153 | Recon Loss : 0.1775 | Codebook : 0.0845 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 154 | Recon Loss : 0.1775 | Codebook : 0.0836 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 155 | Recon Loss : 0.1774 | Codebook : 0.0817 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 156 | Recon Loss : 0.1774 | Codebook : 0.0801 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 157 | Recon Loss : 0.1774 | Codebook : 0.0781 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 158 | Recon Loss : 0.1774 | Codebook : 0.0774 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 159 | Recon Loss : 0.1773 | Codebook : 0.0763 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 160 | Recon Loss : 0.1773 | Codebook : 0.0743 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 161 | Recon Loss : 0.1773 | Codebook : 0.0732 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 162 | Recon Loss : 0.1772 | Codebook : 0.0713 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 163 | Recon Loss : 0.1772 | Codebook : 0.0707 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 164 | Recon Loss : 0.1772 | Codebook : 0.0702 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 165 | Recon Loss : 0.1772 | Codebook : 0.0696 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 166 | Recon Loss : 0.1772 | Codebook : 0.0701 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 167 | Recon Loss : 0.1771 | Codebook : 0.0701 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 168 | Recon Loss : 0.1771 | Codebook : 0.0701 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 169 | Recon Loss : 0.1771 | Codebook : 0.0716 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 170 | Recon Loss : 0.1770 | Codebook : 0.0730 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 171 | Recon Loss : 0.1770 | Codebook : 0.0747 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 172 | Recon Loss : 0.1769 | Codebook : 0.0795 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 173 | Recon Loss : 0.1767 | Codebook : 0.0843 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 174 | Recon Loss : 0.1766 | Codebook : 0.0882 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 175 | Recon Loss : 0.1765 | Codebook : 0.0915 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 176 | Recon Loss : 0.1765 | Codebook : 0.0924 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 177 | Recon Loss : 0.1764 | Codebook : 0.0941 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 178 | Recon Loss : 0.1764 | Codebook : 0.0958 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 179 | Recon Loss : 0.1764 | Codebook : 0.0971 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 180 | Recon Loss : 0.1764 | Codebook : 0.0988 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 181 | Recon Loss : 0.1763 | Codebook : 0.1004 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 182 | Recon Loss : 0.1763 | Codebook : 0.1013 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 183 | Recon Loss : 0.1763 | Codebook : 0.1032 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 184 | Recon Loss : 0.1762 | Codebook : 0.1047 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 185 | Recon Loss : 0.1762 | Codebook : 0.1063 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 186 | Recon Loss : 0.1762 | Codebook : 0.1069 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 187 | Recon Loss : 0.1762 | Codebook : 0.1071 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 188 | Recon Loss : 0.1762 | Codebook : 0.1092 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 189 | Recon Loss : 0.1762 | Codebook : 0.1101 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 190 | Recon Loss : 0.1762 | Codebook : 0.1121 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 191 | Recon Loss : 0.1761 | Codebook : 0.1134 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 192 | Recon Loss : 0.1761 | Codebook : 0.1136 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 193 | Recon Loss : 0.1761 | Codebook : 0.1135 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 194 | Recon Loss : 0.1760 | Codebook : 0.1141 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 195 | Recon Loss : 0.1760 | Codebook : 0.1161 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 196 | Recon Loss : 0.1760 | Codebook : 0.1169 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 197 | Recon Loss : 0.1759 | Codebook : 0.1170 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 198 | Recon Loss : 0.1759 | Codebook : 0.1184 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 199 | Recon Loss : 0.1759 | Codebook : 0.1185 | G Loss : 0.0000 | D Loss 0.0000
Finished epoch: 200 | Recon Loss : 0.1758 | Codebook : 0.1188 | G Loss : 0.0000 | D Loss 0.0000
Done Training...
