
[Verification] Tokenizing 'A00':
   Tokens: [4]
----------------------------------------
Starting Training (Split Token Strategy)...
Epoch 282 | Loss: 0.0383305584
Epoch 283 | Loss: 0.0383463174
Epoch 284 | Loss: 0.0383096136
Epoch 285 | Loss: 0.0383152690
Epoch 286 | Loss: 0.0383135013
Epoch 287 | Loss: 0.0383149469
Epoch 288 | Loss: 0.0383206740
Epoch 289 | Loss: 0.0383051359
Epoch 290 | Loss: 0.0382851586
Epoch 291 | Loss: 0.0383118122
Epoch 292 | Loss: 0.0382934338
Epoch 293 | Loss: 0.0383159329
Epoch 294 | Loss: 0.0383088887
Epoch 295 | Loss: 0.0383033520
Epoch 296 | Loss: 0.0383003284
Epoch 297 | Loss: 0.0383075852
Epoch 298 | Loss: 0.0383241779
Epoch 299 | Loss: 0.0382932864
Epoch 300 | Loss: 0.0383210247
Epoch 301 | Loss: 0.0383474395
Epoch 302 | Loss: 0.0383038977
Epoch 303 | Loss: 0.0383546236
Epoch 304 | Loss: 0.0384073677
Epoch 305 | Loss: 0.0383642869
Epoch 306 | Loss: 0.0385042981
Epoch 307 | Loss: 0.0386509793
Epoch 308 | Loss: 0.0389093281
Epoch 309 | Loss: 0.0391668386
Epoch 310 | Loss: 0.0401171236
Epoch 311 | Loss: 0.0429867281
Epoch 312 | Loss: 0.0533669214
Epoch 313 | Loss: 0.0667624817
Epoch 314 | Loss: 0.0601762610
Epoch 315 | Loss: 0.0497994876
Epoch 316 | Loss: 0.0443550181
Epoch 317 | Loss: 0.0416716527
Epoch 318 | Loss: 0.0401476237
Epoch 319 | Loss: 0.0393836174
Epoch 320 | Loss: 0.0387999497
Epoch 321 | Loss: 0.0386263328
Epoch 322 | Loss: 0.0385098917
Epoch 323 | Loss: 0.0383911672
Epoch 324 | Loss: 0.0383121728
Epoch 325 | Loss: 0.0382901111
Epoch 326 | Loss: 0.0382646604
Epoch 327 | Loss: 0.0382466285
Epoch 328 | Loss: 0.0382238546
Epoch 329 | Loss: 0.0382403240
Epoch 330 | Loss: 0.0381926850
Epoch 331 | Loss: 0.0382173446
Epoch 332 | Loss: 0.0382287606
Epoch 333 | Loss: 0.0381961558
Epoch 334 | Loss: 0.0381798785
